episode,seed,epsilon,expert_mix_rate,total_reward,mean_loss,max_loss,steps,done,recovered,lost,final_status,final_battery_pct,final_attitude_error,final_fuel_units,expert_action_count,invalid_action_count,diagnostic_action_count,rolling_reward_20,rolling_loss_20,rolling_success_rate_20,eval_mean_reward,eval_success_rate
86,92,0.551389,0.294643,-12.550000,2.698785,130.378209,50,1,0,1,lost,100.000,0.000,26.000,7,3,13,-10.175000,2.452050,0.150000,,
87,93,0.546111,0.289286,-28.700000,2.720688,129.180630,50,1,0,1,lost,100.000,4.491,46.000,10,1,18,-10.995000,2.439099,0.150000,,
88,94,0.540833,0.283929,-21.350000,1.991625,89.752488,50,1,0,1,lost,2.010,1.700,46.000,10,6,17,-11.532500,2.388732,0.150000,,
89,95,0.535556,0.278571,-27.750000,2.275363,105.821958,50,1,0,1,lost,100.000,0.000,9.500,7,0,14,-13.507500,2.484350,0.100000,,
90,96,0.530278,0.273214,-25.850000,2.300704,105.548750,50,1,0,1,lost,100.000,0.000,6.000,9,2,19,-14.005000,2.449342,0.100000,-17.655000,0.000000
91,97,0.525000,0.267857,-13.500000,2.307020,109.269799,50,1,0,1,lost,100.000,0.000,8.000,9,1,13,-13.675000,2.442256,0.100000,,
92,98,0.519722,0.262500,-13.250000,2.036785,98.973027,50,1,0,1,lost,100.000,0.000,30.000,8,1,17,-13.577500,2.396106,0.100000,,
93,99,0.514444,0.257143,-20.400000,1.938154,82.248810,45,1,0,1,lost,60.040,30.500,0.000,7,1,19,-15.090000,2.476979,0.050000,,
94,100,0.509167,0.251786,7.900000,0.456318,8.259327,35,1,1,0,recovered,100.000,0.000,26.000,10,3,12,-14.057500,2.331977,0.100000,,
95,101,0.503889,0.246429,-13.600000,2.574831,121.091386,50,1,0,1,lost,100.000,0.000,46.000,11,4,13,-14.240000,2.314996,0.100000,,
96,102,0.498611,0.241071,-24.400000,1.727474,80.441868,50,1,0,1,lost,100.000,0.000,23.000,6,2,17,-14.745000,2.250718,0.100000,,
97,103,0.493333,0.235714,-26.600000,1.860070,82.814644,50,1,0,1,lost,94.950,15.000,0.000,9,2,19,-15.347500,2.178179,0.100000,,
98,104,0.488056,0.230357,-15.700000,2.376303,114.434560,50,1,0,1,lost,100.000,0.000,44.000,7,2,16,-15.535000,2.164314,0.100000,,
99,105,0.482778,0.225000,-10.450000,2.143226,101.080443,50,1,0,1,lost,84.570,0.000,38.000,3,0,18,-15.022500,2.158476,0.100000,,
100,106,0.477500,0.219643,-12.850000,1.841419,87.822169,50,1,0,1,lost,100.000,0.900,32.000,4,1,8,-15.045000,2.105171,0.100000,,
101,107,0.472222,0.214286,10.900000,0.836437,9.883460,20,1,1,0,recovered,100.000,0.000,26.000,6,0,6,-13.727500,2.030447,0.150000,,
